Agent Name,TrueSkill Mu,TrueSkill Sigma,Avg VP Margin,SelfPlay Avg VP
Agent_A,23.85639702598589,1.5759860535924226,-2.55,26.5
Agent_B,24.861978412784673,1.5818560545105131,-2.05,16.166666666666668
Random,26.913241973021982,1.9768445256403941,0.7916666666666666,0.0
Agent_A_1,24.96293853963182,2.271203783310931,-0.4375,0.0
Agent_A_2,26.369087240067245,2.2653169977881347,1.0625,0.0
Agent_B_1,27.39776394420172,2.281222273490015,1.75,0.0
Agent_B_2,27.46179616506601,2.4457667351112735,7.9375,0.0
